year,region,gender,rank,name
2016,Česko,boy,1,Jakub
2016,Česko,girl,1,Eliška
2016,Česko,boy,2,Jan
2016,Česko,girl,2,Tereza
2016,Česko,boy,3,Tomáš
2016,Česko,girl,3,Anna
2016,Česko,boy,4,Filip
2016,Česko,girl,4,Adéla
2016,Česko,boy,5,Ondřej
2016,Česko,girl,5,Sofie
2016,Česko,boy,6,Matyáš
2016,Česko,girl,6,Natálie
2016,Česko,boy,7,Lukáš
2016,Česko,girl,7,Karolína
2016,Česko,boy,8,Adam
2016,Česko,girl,8,Viktorie
2016,Česko,boy,9,Matěj
2016,Česko,girl,9,Ema
2016,Česko,boy,10-11,Dominik
2016,Česko,girl,10,Marie
2016,Česko,boy,10-11,Vojtěch
2016,Česko,girl,11,Kristýna
2016,Česko,boy,12,Martin
2016,Česko,girl,12,Barbora
2016,Česko,boy,13,David
2016,Česko,girl,13-15,Emma
2016,Česko,boy,14,Daniel
2016,Česko,girl,13-15,Laura
2016,Česko,boy,15,Šimon
2016,Česko,girl,13-15,Veronika
2016,Česko,boy,16,Antonín
2016,Česko,girl,16,Kateřina
2016,Česko,boy,17,Václav
2016,Česko,girl,17,Lucie
2016,Česko,boy,18,Michal
2016,Česko,girl,18-19,Nela
2016,Česko,boy,19-20,Jiří
2016,Česko,girl,18-19,Klára
2016,Česko,boy,19-20,Kryštof
2016,Česko,girl,20,Julie
2016,Česko,boy,21-22,Marek
2016,Česko,girl,21-22,Aneta
2016,Česko,boy,21-22,Petr
2016,Česko,girl,21-22,Amálie
2016,Česko,boy,23,Štěpán
2016,Česko,girl,23,Rozálie
2016,Česko,boy,24,Josef
2016,Česko,girl,24,Nikol
2016,Česko,boy,25,Samuel
2016,Česko,girl,25,Nikola
2016,Česko,boy,26,František
2016,Česko,girl,26,Vanesa
2016,Česko,boy,27,Tobiáš
2016,Česko,girl,27,Anežka
2016,Česko,boy,28-29,Pavel
2016,Česko,girl,28-30,Michaela
2016,Česko,boy,28-29,Tadeáš
2016,Česko,girl,28-30,Zuzana
2016,Česko,boy,30,Patrik
2016,Česko,girl,28-30,Gabriela
2016,Česko,boy,31,Mikuláš
2016,Česko,girl,31,Ella
2016,Česko,boy,32,Sebastian
2016,Česko,girl,32,Magdaléna
2016,Česko,boy,33,Jonáš
2016,Česko,girl,33,Markéta
2016,Česko,boy,34-35,Michael
2016,Česko,girl,34,Sára
2016,Česko,boy,34-35,Miroslav
2016,Česko,girl,35-36,Dominika
2016,Česko,boy,36,Jáchym
2016,Česko,girl,35-36,Elena
2016,Česko,boy,37-38,Oliver
2016,Česko,girl,37,Liliana
2016,Česko,boy,37-38,Richard
2016,Česko,girl,38-39,Linda
2016,Česko,boy,39,Jaroslav
2016,Česko,girl,38-39,Alžběta
2016,Česko,boy,40,Viktor
2016,Česko,girl,40-43,Johana
2016,Česko,boy,41-42,Jindřich
2016,Česko,girl,40-43,Hana
2016,Česko,boy,41-42,Kristián
2016,Česko,girl,40-43,Beáta
2016,Česko,boy,43,Karel
2016,Česko,girl,40-43,Adriana
2016,Česko,boy,44-45,Matouš
2016,Česko,girl,44-46,Štěpánka
2016,Česko,boy,44-45,Vít
2016,Česko,girl,44-46,Sabina
2016,Česko,boy,46,Maxmilián
2016,Česko,girl,44-46,Daniela
2016,Česko,boy,47,Alex
2016,Česko,girl,47-48,Terezie
2016,Česko,boy,48,Denis
2016,Česko,girl,47-48,Jana
2016,Česko,boy,49-50,Max
2016,Česko,girl,49-50,Nina
2016,Česko,boy,49-50,Radek
2016,Česko,girl,49-50,Eva
2016,Česko,boy,51,Eliáš
2016,Česko,girl,51-55,Valerie
2016,Česko,boy,52-55,Vincent
2016,Česko,girl,51-55,Simona
2016,Česko,boy,52-55,Teodor
2016,Česko,girl,51-55,Denisa
2016,Česko,boy,52-55,Nikolas
2016,Česko,girl,51-55,Alice
2016,Česko,boy,52-55,Alexandr
2016,Česko,girl,51-55,Elen
2016,Česko,boy,56,Eduard
2016,Česko,girl,56-57,Monika
2016,Česko,boy,57-58,Milan
2016,Česko,girl,56-57,Vendula
2016,Česko,boy,57-58,Roman
2016,Česko,girl,58,Magdalena
2016,Česko,boy,59-62,Radim
2016,Česko,girl,59-63,Šárka
2016,Česko,boy,59-62,Tobias
2016,Česko,girl,59-63,Agáta
2016,Česko,boy,59-62,Nicolas
2016,Česko,girl,59-63,Andrea
2016,Česko,boy,59-62,Robin
2016,Česko,girl,59-63,Alena
2016,Česko,boy,63,Vladimír
2016,Česko,girl,59-63,Klaudie
2016,Česko,boy,64-68,Vilém
2016,Česko,girl,64-66,Miriam
2016,Česko,boy,64-68,Sebastián
2016,Česko,girl,64-66,Sofia
2016,Česko,boy,64-68,Maxim
2016,Česko,girl,64-66,Ellen
2016,Česko,boy,64-68,Albert
2016,Česko,girl,67-70,Nicol
2016,Česko,boy,64-68,Ladislav
2016,Česko,girl,67-70,Nella
2016,Česko,boy,69-72,Stanislav
2016,Česko,girl,67-70,Josefína
2016,Česko,boy,69-72,Robert
2016,Česko,girl,67-70,Elizabeth
2016,Česko,boy,69-72,Jaromír
2016,Česko,girl,71-75,Vanessa
2016,Česko,boy,69-72,Erik
2016,Česko,girl,71-75,Stella
2016,Česko,boy,73-75,Prokop
2016,Česko,girl,71-75,Mia
2016,Česko,boy,73-75,Vítek
2016,Česko,girl,71-75,Antonie
2016,Česko,boy,73-75,Kevin
2016,Česko,girl,71-75,Emílie
2016,Česko,boy,76-77,Zdeněk
2016,Česko,girl,76-80,Patricie
2016,Česko,boy,76-77,Dan
2016,Česko,girl,76-80,Rozárie
2016,Česko,boy,76-77,Aleš
2016,Česko,girl,76-80,Stela
2016,Česko,boy,79-84,Sebastien
2016,Česko,girl,76-80,Helena
2016,Česko,boy,79-84,Oskar
2016,Česko,girl,76-80,Bára
2016,Česko,boy,79-84,Adrian
2016,Česko,girl,81-86,Šarlota
2016,Česko,boy,79-84,Hugo
2016,Česko,girl,81-86,Valentýna
2016,Česko,boy,79-84,Damián
2016,Česko,girl,81-86,Izabela
2016,Česko,boy,79-84,Gabriel
2016,Česko,girl,81-86,Lenka
2016,Česko,boy,85-87,Matteo
2016,Česko,girl,81-86,Ester
2016,Česko,boy,85-87,Hynek
2016,Česko,girl,81-86,Alexandra
2016,Česko,boy,85-87,Kristian
2016,Česko,girl,87-95,Martina
2016,Česko,boy,88-91,Lucas
2016,Česko,girl,87-95,Victoria
2016,Česko,boy,88-91,Rostislav
2016,Česko,girl,87-95,Lilien
2016,Česko,boy,88-91,Alois
2016,Česko,girl,87-95,Valérie
